job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
Süreç / Proses Teknisyeni,3480,2450,4910,Makine (MYO),Elektrik (MYO),Elektrik Enerjisi Üretim - İletim ve Dağıtımı (MYO),Makine,Mekatronik (MYO),Enerji,Otomotiv,Maden ve Metal Sanayi,Kimya,Elektrik & Elektronik,Anadolu Üniversitesi,Kocaeli Üniversitesi,Çanakkale 18 Mart Üniversitesi,Balıkesir Üniversitesi,Kahramanmaraş Sütçü İmam Üniversitesi,AutoCAD,Elektrik Kumanda Panoları,Elektrik Motorları,Elektrik/Elektronik,Hidrolik ve Pnömatik Sistemler,11,0,305,92,8
Sürveyan,3680,2300,5310,İnşaat (MYO),Elektrik (MYO),İnşaat Teknolojisi,İşletme,İnşaat Mühendisliği,Yapı,Hizmet,Elektrik & Elektronik,Enerji,Taşımacılık,Selçuk Üniversitesi,Anadolu Üniversitesi,Fırat Üniversitesi,Atatürk Üniversitesi,Süleyman Demirel Üniversitesi,AutoCAD,Cari Hesap ve Finans Takibi,Elektrik Kumanda Panoları,Elektrik/Elektronik,İş ve süreç analizi,11,0,247,92,8
Sürveyan Teknisyeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Şan Öğretmeni,2600,2200,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Şantiye Müdürü,8560,3870,13250,İnşaat Mühendisliği,Makine Mühendisliği,Mimarlık,Maden Mühendisliği,Elektrik/Elektronik Mühendisliği,Yapı,Enerji,Maden ve Metal Sanayi,Hizmet,Elektrik & Elektronik,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Anadolu Üniversitesi,Gazi Üniversitesi,AutoCAD,Fiyat Analizleri,Hakediş Düzenlenmesi,İnşaat,İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,25,0,688,95,5
Şantiye Sorumlusu,4280,2340,6220,İnşaat (MYO),İnşaat Mühendisliği,İnşaat Teknolojisi,İşletme,Mimarlık,Yapı,Maden ve Metal Sanayi,Elektrik & Elektronik,Hizmet,Enerji,Anadolu Üniversitesi,Selçuk Üniversitesi,Süleyman Demirel Üniversitesi,Kocaeli Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),3D Max,AutoCAD,Hakediş Düzenlenmesi,ideCAD Statik,İnşaat,32,6,1650,91,9
Şantiye Şefi,5820,2490,9150,İnşaat Mühendisliği,İnşaat (MYO),Mimarlık,Makine Mühendisliği,Jeoloji Mühendisliği,Yapı,Maden ve Metal Sanayi,Elektrik & Elektronik,Enerji,Hizmet,Karadeniz Teknik Üniversitesi (KTÜ),Yıldız Teknik Üniversitesi (YTÜ),Çukurova Üniversitesi,Selçuk Üniversitesi,Kocaeli Üniversitesi,AutoCAD,Autodesk,Google SketchUp,Hakediş Düzenlenmesi,ideCAD Statik,1249,453,21330,92,8
Şarap Uzmanı,4300,2900,7810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Şehir Plancısı,3940,2020,5990,Şehir Planlama,Kamu Yönetimi,Mimarlık,İşletme,Restorasyon (MYO),Yapı,Hizmet,Bilişim,Danışmanlık,Enerji,Gazi Üniversitesi,Dokuz Eylül Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Mimar Sinan Güzel Sanatlar Üniversitesi,Adobe Illustrator,Adobe Photoshop,ArcGIS,AutoCAD,Bilgisayar Destekli Tasarım Araçları,53,1,1495,30,70
Şoför / Sürücü,2840,2040,3640,İşletme,Kamu Yönetimi,Elektrik (MYO),Otomotiv (MYO),İktisat,Taşımacılık,Gıda,Turizm,Hizmet,Yapı,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Atatürk Üniversitesi,Selçuk Üniversitesi,Src 2,Src 4,SRC4,0,0,841,820,45957,91,9
Tahsilat Uzmanı,3190,2020,4710,İşletme,İktisat,Bankacılık ve Sigortacılık (MYO),Maliye,Kamu Yönetimi,Danışmanlık,Finans - Ekonomi,Hizmet,Telekomünikasyon,Sigortacılık,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Dumlupınar Üniversitesi,Sakarya Üniversitesi,Bankacılık/Finans,Bireysel Krediler,Cari Hesap ve Finans Takibi,Finans,Muhasebe,98,50,1822,32,68
Tahsildar,2720,2150,3610,İşletme,Muhasebe (MYO),İktisat,Maliye,Kamu Yönetimi,Finans - Ekonomi,Güvenlik,Hizmet,Taşımacılık,Danışmanlık,Anadolu Üniversitesi,Trakya Üniversitesi,Bülent Ecevit Üniversitesi,Rize Recep Tayyip Erdoğan Üniversitesi,Selçuk Üniversitesi,Silahlı Özel Güvenlik,Src 4,TAHSİLAT,0,0,5,0,621,84,16
Takı Tasarımcısı,2940,2020,5000,Kuyumculuk ve Takı Tasarımı (MYO),Takı Tasarımı,Uygulamalı Takı Teknolojisi (MYO),Takı Tasarımı ve Süs Taşları İşlemeciliği (MYO),İşletme,Maden ve Metal Sanayi,Tekstil,Mobilya & Aksesuar,Eğitim,Üretim / Endüstriyel Ürünler,Marmara Üniversitesi,İstanbul Aydın Üniversitesi,Mersin Üniversitesi,Altınbaş Üniversitesi,Anadolu Üniversitesi,3D Tasarım ve Modelleme Uygulaması,Adobe Illustrator,Adobe Photoshop,AutoCAD,El Çizimi,8,2,331,31,69
Takım Koçu,0,0,0,İşletme,Kamu Yönetimi,Muhasebe (MYO),Dış Ticaret (MYO),Lojistik (MYO),Hizmet,Telekomünikasyon,Finans - Ekonomi,Danışmanlık,Sigortacılık,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Afyon Kocatepe Üniversitesi,Namık Kemal Üniversitesi,Ege Üniversitesi,•	Deadline And Target Driven,Web Yazılım,Microsoft Office,Personel Maliyet,Ticaret,0,0,300,48,52
Tanker Şoförü,3650,2750,4540,İklimlendirme-Soğutma (MYO),Otomotiv (MYO),Mobilya ve Dekorasyon (MYO),İşletme - Ekonomi,Halkla İlişkiler ve Tanıtım,Taşımacılık,Enerji,Yapı,Gıda,Kimya,Anadolu Üniversitesi,Akdeniz Üniversitesi,Mustafa Kemal Üniversitesi,Kocaeli Üniversitesi,Erciyes Üniversitesi,Bakım Onarım,Src 2,0,0,0,19,16,505,89,11
Tarım Danışmanı,2970,2100,4340,Ziraat Mühendisliği,Tarla Bitkileri,Bitki Koruma,Bahçe Bitkileri,Fındık Eksperliği (MYO),Tarım / Ziraat,Danışmanlık,Hayvancılık,Hizmet,Gıda,Yüzüncü Yıl Üniversitesi,Atatürk Üniversitesi,Anadolu Üniversitesi,Çukurova Üniversitesi,Giresun Üniversitesi,Depo Stok Takibi,Depo Ve Stok Yönetimi,Google Adwords,İnsan Kaynakları Yönetimi,0,8,0,800,46,54
Tarih Öğretmeni,2840,2110,3570,Tarih,Tarih Öğretmenliği,Sosyal Bilgiler Öğretmenliği,Dil - Tarih - Coğrafya,Sanat Tarihi,Eğitim,Danışmanlık,Hizmet,Tekstil,Gıda,Gazi Üniversitesi,İstanbul Üniversitesi (İÜ),Sakarya Üniversitesi,Trakya Üniversitesi,Uludağ Üniversitesi,Microsoft Office,Microsoft Office Word,Müzik,Spor,Tiyatro,148,195,9879,37,63
Tasarım Asistanı,2830,2020,3680,Moda Tasarımı,Moda Tasarımı (MYO),Moda ve Tekstil Tasarımı,Tekstil (MYO),Moda ve Tekstil Tasarımı (MYO),Tekstil,Reklam ve Tanıtım,Üretim / Endüstriyel Ürünler,Mobilya & Aksesuar,Yapı,İstanbul Aydın Üniversitesi,Marmara Üniversitesi,Anadolu Üniversitesi,İstanbul Arel Üniversitesi,Dumlupınar Üniversitesi,Adobe Illustrator,Adobe Photoshop,Bilgisayar Destekli Tasarım Araçları,Corel Draw,CorelDraw,134,119,1826,15,85
Tasarım Elemanı,3960,2170,5750,Moda Tasarımı,Moda ve Tekstil Tasarımı,Makine (MYO),Makine,Endüstri Ürünleri Tasarımı,Tekstil,Yapı,Reklam ve Tanıtım,Üretim / Endüstriyel Ürünler,Maden ve Metal Sanayi,Anadolu Üniversitesi,Marmara Üniversitesi,Gazi Üniversitesi,Dumlupınar Üniversitesi,Kocaeli Üniversitesi,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,144,29,2117,47,53
Tasarım Mimarı,4710,3000,6670,Mimarlık,İç Mimarlık,Peyzaj Mimarlığı,İç Mimarlık ve Çevre Tasarımı,Mobilya ve Dekorasyon (MYO),Yapı,Mobilya & Aksesuar,Reklam ve Tanıtım,Elektrik & Elektronik,Üretim / Endüstriyel Ürünler,Dokuz Eylül Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Mimar Sinan Güzel Sanatlar Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Yeditepe Üniversitesi,3D Max,3D Studio Max,Adobe Illustrator,Adobe Photoshop,ArchiCAD,7,190,264,52,48
Tasarım Mühendisi,4530,2220,6850,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,İnşaat Mühendisliği,Otomotiv Mühendisliği,Mekatronik Mühendisliği,Üretim / Endüstriyel Ürünler,Otomotiv,Havacılık,Bilişim,Elektrik & Elektronik,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Teknik Üniversitesi (İTÜ),Gazi Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Kocaeli Üniversitesi,3D Tasarım ve Modelleme Uygulaması,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,371,395,1932,85,15
Tasarım Uzmanı,4730,2210,7240,Makine Mühendisliği,Makine (MYO),Moda ve Tekstil Tasarımı,Tasarım ve Konstrüksiyon Öğretmenliği,Endüstri Ürünleri Tasarımı,Otomotiv,Tekstil,Üretim / Endüstriyel Ürünler,Yapı,Bilişim,Gazi Üniversitesi,Uludağ Üniversitesi,Marmara Üniversitesi,Anadolu Üniversitesi,Sakarya Üniversitesi,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,80,164,998,66,34
Tavan Vinci Operatörü,2790,2020,3560,Elektrik (MYO),Makine (MYO),Otomotiv (MYO),Makine,Mobilya ve Dekorasyon (MYO),Maden ve Metal Sanayi,Üretim / Endüstriyel Ürünler,Otomotiv,Taşımacılık,Yapı,Kocaeli Üniversitesi,Anadolu Üniversitesi,Mustafa Kemal Üniversitesi,Afyon Kocatepe Üniversitesi,Özyeğin Üniversitesi,Elektrik/Elektronik,Forklift Operatörü,GAZALTI KAYNAK,Kalite Kontrol,Kaynak,30,10,1048,89,11
Tedarik Zinciri Direktörü,12360,9500,15530,Endüstri Mühendisliği,Makine Mühendisliği,İşletme,Kimya Mühendisliği,Uluslararası İlişkiler,Gıda,Perakende,Kimya,Otomotiv,Yapı,İstanbul Teknik Üniversitesi (İTÜ),Dokuz Eylül Üniversitesi,İstanbul Üniversitesi (İÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Hacettepe Üniversitesi,Autodesk,Autodesk Inventor,CNC,Depo Ve Lojistik Yönetimi,ERP Lojistik,21,9,121,82,18
Tedarik Zinciri Müdürü,12660,7340,17970,Endüstri Mühendisliği,İşletme,Makine Mühendisliği,Uluslararası İlişkiler,İktisat,Otomotiv,Sağlık,Gıda,Üretim / Endüstriyel Ürünler,Enerji,İstanbul Üniversitesi (İÜ),İstanbul Teknik Üniversitesi (İTÜ),Marmara Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Uludağ Üniversitesi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Dış Ticaret,Gümrük mevzuatı,ISO 9001,67,15,738,71,29
Tedarik Zinciri Uzmanı,5650,2590,8710,Endüstri Mühendisliği,İşletme,İşletme (İngilizce),Kimya Mühendisliği,Metalurji ve Malzeme Mühendisliği,Otomotiv,Perakende,Gıda,Sağlık,Kimya,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Marmara Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),AutoCAD,CANIAS ERP,CATIA,Depo Ve Lojistik Yönetimi,Logo Tiger,44,31,546,47,53
Tedarik Zinciri Yöneticisi,6910,3640,10180,Endüstri Mühendisliği,İşletme,İşletme (İngilizce),Uluslararası İlişkiler,Gıda Mühendisliği,Gıda,Otomotiv,Üretim / Endüstriyel Ürünler,Perakende,Sağlık,Yıldız Teknik Üniversitesi (YTÜ),Dokuz Eylül Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Anadolu Üniversitesi,AutoCAD,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,İthalat işlemleri,27,12,319,60,40
Teğmen,6000,5000,7060,Makine Mühendisliği,İşletme,Elektrik Mühendisliği,Elektrik/Elektronik Mühendisliği,Endüstri Mühendisliği,Hizmet,Güvenlik,Üretim / Endüstriyel Ürünler,Yapı,Sağlık,Kara Harp Okulu,Kocaeli Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Uludağ Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Adobe Photoshop,AutoCAD,C,C#,C++,7,0,0,0,0
Tehlikeli Madde Güvenlik Danışmanı,2590,2020,3190,Çevre Mühendisliği,İşletme,Kimya,Kimya Mühendisliği,Biyoloji,Danışmanlık,Kimya,Çevre,Enerji,Taşımacılık,Anadolu Üniversitesi,Kocaeli Üniversitesi,Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Sakarya Üniversitesi,AutoCAD,Depo Ve Lojistik Yönetimi,Dış Ticaret,ISO 9001,İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,44,0,583,57,43
Teknik Çizim Elemanı,3220,2030,4410,İnşaat (MYO),Makine (MYO),Makine-Resim-Konstrüksiyon (MYO),Mobilya ve Dekorasyon (MYO),İnşaat Teknolojisi,Yapı,Maden ve Metal Sanayi,Üretim / Endüstriyel Ürünler,Bilişim,Elektrik & Elektronik,Anadolu Üniversitesi,Gazi Üniversitesi,Sakarya Üniversitesi,Selçuk Üniversitesi,Süleyman Demirel Üniversitesi,2D Autocad,3D Max,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,AutoCAD,35,7,1027,57,43
Teknik Destek Uzmanı,3540,2020,5150,Bilgisayar Teknolojisi ve Programlama (MYO),Bilgisayar Programcılığı,İşletme,Endüstriyel Elektronik (MYO),Elektrik (MYO),Bilişim,Telekomünikasyon,Elektrik & Elektronik,Hizmet,Sağlık,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Sakarya Üniversitesi,Kocaeli Üniversitesi,Marmara Üniversitesi,Adobe Photoshop,AutoCAD,C#,HTML,LAN (Local Area Network),69,121,1923,86,14
Teknik Direktör,0,0,0,Makine Mühendisliği,Antrenörlük Eğitimi,Elektrik/Elektronik Mühendisliği,Mimarlık,İnşaat Mühendisliği,Bilişim,Yapı,Turizm,Elektrik & Elektronik,Gıda,İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Yıldız Teknik Üniversitesi (YTÜ),Marmara Üniversitesi,Anadolu Üniversitesi,5S,CAD/CAM,CNC,Hidrolik,ISO 14001,0,0,142,89,11
Teknik Öğretmen,4750,2110,7850,Otomotiv Öğretmenliği,Talaşlı Üretim Öğretmenliği,Elektrik Öğretmenliği,Metal Öğretmenliği,Yapı Öğretmenliği,Eğitim,Yapı,Elektrik & Elektronik,Üretim / Endüstriyel Ürünler,Havacılık,Gazi Üniversitesi,Marmara Üniversitesi,Fırat Üniversitesi,Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Adobe Photoshop,AutoCAD,Bilgisayar Destekli Tasarım Araçları,CAD/CAM,CATIA,15,3,773,74,27
Teknik Ressam,3580,2070,5090,Makine-Resim-Konstrüksiyon (MYO),Makine (MYO),Makine,İnşaat (MYO),Makina Resim Konstrüksiyon,Yapı,Üretim / Endüstriyel Ürünler,Maden ve Metal Sanayi,Bilişim,Otomotiv,Selçuk Üniversitesi,Sakarya Üniversitesi,Anadolu Üniversitesi,Gazi Üniversitesi,Kocaeli Üniversitesi,2D Autocad,3D Studio Max,3D Tasarım ve Modelleme Uygulaması,Adobe Photoshop,AutoCAD,637,431,6075,72,28
Teknisyen,0,0,0,Elektrik (MYO),Otomotiv (MYO),İşletme,Elektronik Teknolojisi,Bilgisayar Teknolojisi ve Programlama (MYO),Elektrik & Elektronik,Bilişim,Otomotiv,Sağlık,Enerji,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Gazi Üniversitesi,Selçuk Üniversitesi,Ticaret,Fitnes  1 Yıl,ÇAYCUMA 2002-23 NİSAN SATRANÇ 16 YAŞ ÜÇÜNCÜSÜ,Salary Review,•	Deadline And Target Driven,0,25,30068,88,12
Teknolog,0,0,0,Tekstil Mühendisliği,Kimya,Tekstil Terbiye Öğretmenliği,Makine Mühendisliği,Gıda Teknolojisi,Tekstil,Üretim / Endüstriyel Ürünler,Perakende,Bilişim,Gıda,Orta Doğu Teknik Üniversitesi (ODTÜ),Ege Üniversitesi,Çukurova Üniversitesi,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),ASP.NET,MS Project,Pfmea,SAP,Unigraphics,0,0,59,75,25
Teknoloji Danışmanı,3300,2020,5330,İşletme,Bilgisayar Mühendisliği,Bilgisayar Teknolojisi ve Programlama (MYO),Elektrik/Elektronik Mühendisliği,Makine Mühendisliği,Bilişim,Telekomünikasyon,Danışmanlık,Elektrik & Elektronik,İletişim Danışmanlığı,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Teknik Üniversitesi (İTÜ),Kocaeli Üniversitesi,Selçuk Üniversitesi,Adobe Photoshop,C#,C++,Elektrik/Elektronik,Java,17,2,428,75,26
Teknoloji Uzmanı,3850,2500,5600,Bilgisayar Teknolojisi ve Programlama (MYO),İşletme,İktisat,Bilgisayar Programcılığı,Kamu Yönetimi,Telekomünikasyon,Bilişim,Hizmet,Elektrik & Elektronik,Ticaret,Anadolu Üniversitesi,Dicle Üniversitesi,Süleyman Demirel Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,Adobe Flash,Android,AutoCAD,Bilgisayar Destekli Tasarım Araçları,LAN (Local Area Network),6,5,465,71,29
Teknoloji ve Tasarım Öğretmeni,0,0,0,Endüstriyel Teknoloji Öğretmenliği,Resim-İş Öğretmenliği,El Sanatları,Aile ve Tüketici Bilimleri Öğretmenliği,Geleneksel Türk El Sanatları,Eğitim,Tekstil,Hizmet,Telekomünikasyon,Gıda,Gazi Üniversitesi,Selçuk Üniversitesi,Marmara Üniversitesi,Anadolu Üniversitesi,Süleyman Demirel Üniversitesi,Adobe Illustrator,Adobe Photoshop,AutoCAD,Bilgisayar Destekli Tasarım Araçları,CorelDraw,0,2,246,26,74
Tekstil Mühendisi,3510,2170,4840,Tekstil Mühendisliği,Tekstil (MYO),Tekstil Teknolojisi Bölümü,Tekstil Öğretmenliği,İşletme,Tekstil,Ev Eşyaları,Kimya,Üretim / Endüstriyel Ürünler,Eğitim,Uludağ Üniversitesi,Ege Üniversitesi,Kahramanmaraş Sütçü İmam Üniversitesi,Çukurova Üniversitesi,Süleyman Demirel Üniversitesi,Adobe Photoshop,AutoCAD,Photoshop,SOLIDWORKS,Üretim Planlama,131,74,1277,48,52
Tekstil Tasarımcısı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Tekstil Teknikeri,3050,2020,4400,Tekstil (MYO),Tekstil Teknolojisi Bölümü,Moda ve Tekstil Tasarımı (MYO),İşletme,Moda Tasarımı (MYO),Tekstil,Ev Eşyaları,Kimya,Üretim / Endüstriyel Ürünler,Bilişim,Ege Üniversitesi,Anadolu Üniversitesi,Uludağ Üniversitesi,Çukurova Üniversitesi,Namık Kemal Üniversitesi,TEKSTİL,0,0,0,0,22,4,1373,41,59
Teleferik Operatörü,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telefon Operatörü,2700,2020,3380,İşletme,Halkla İlişkiler ve Tanıtım,Turizm ve Otel İşletmeciliği (MYO),İşletme Yönetimi,Pazarlama (MYO),Telekomünikasyon,Hizmet,Sağlık,Turizm,Bilişim,Anadolu Üniversitesi,Selçuk Üniversitesi,Marmara Üniversitesi,Süleyman Demirel Üniversitesi,İstanbul Üniversitesi (İÜ),Muhasebe,0,0,0,0,14,0,834,38,63
Telekomünikasyon Mühendisi,4830,2400,7960,Elektronik ve Haberleşme Müh.,Elektrik/Elektronik Mühendisliği,Telekomünikasyon Mühendisliği,Elektronik Mühendisliği,Bilgisayar Mühendisliği,Telekomünikasyon,Hizmet,Bilişim,Enerji,Elektrik & Elektronik,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Çukurova Üniversitesi,AutoCAD,C,C Programming Language,C++,Cisco Routers,17,3,321,82,18
Tele-satış Takım Lideri,0,0,0,Kamu Yönetimi,İşletme,Halkla İlişkiler ve Tanıtım,İktisat,Büro Yönetimi ve Sekreterlik (MYO),Telekomünikasyon,Hizmet,Danışmanlık,Bilişim,Sigortacılık,Anadolu Üniversitesi,İstanbul Aydın Üniversitesi,Manisa Celal Bayar Üniversitesi,Kocaeli Üniversitesi,Balıkesir Üniversitesi,Bütçe planlama ve raporlama,CRM,Finansal Analiz,Google Adwords Kampanya Yönetimi,Mali tablolar analizi,0,0,70,46,54
Telsiz Operatörü,0,0,0,Elektrik (MYO),İktisat,İşletme,Elektronik Haberleşme (MYO),Savunma ve Güvenlik (MYO),Elektrik & Elektronik,Denizcilik,Enerji,Güvenlik,Telekomünikasyon,Anadolu Üniversitesi,Kocaeli Üniversitesi,Ankara Üniversitesi,Dokuz Eylül Üniversitesi,Uludağ Üniversitesi,Android Programlama,Dijital Pazarlama,Teknik Resim Okuma,0,0,0,0,87,87,13
Tenis Antrenörü,3380,2500,5330,Antrenörlük Eğitimi,Beden Eğitimi ve Spor Öğretmenliği,Spor Yöneticiliği,Rekreasyon Yönetimi,Spor Bilimleri,Eğitim,Turizm,Eğlence - Kültür - Sanat,Yapı,Topluluklar,Marmara Üniversitesi,Muğla Üniversitesi,Trakya Üniversitesi,Akdeniz Üniversitesi,Sakarya Üniversitesi,Adobe Photoshop,0,0,0,0,7,1,495,65,35
Tenis Oyuncusu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terapist,4910,4650,5180,Psikoloji,Beden Eğitimi ve Spor Öğretmenliği,İşletme,Fizyoterapi ve Rehabilitasyon,Sosyoloji,Turizm,Sağlık,Hizmet,Danışmanlık,Eğitim,Anadolu Üniversitesi,Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,İstanbul Bilgi Üniversitesi,Muhasebe,Nakit Yönetimi,0,0,0,4,7,360,38,62
Tercüman / Çevirmen,3500,2050,4960,İngiliz Dili ve Edebiyatı,Mütercim-Tercümanlık (İngilizce),Mütercim Tercümanlık,Çeviribilim,İngiliz Dili Eğitimi,Hizmet,Basım - Yayın,Eğitim,Bilişim,Turizm,İstanbul Üniversitesi (İÜ),Boğaziçi Üniversitesi,Hacettepe Üniversitesi,Ankara Üniversitesi,Marmara Üniversitesi,Adobe Photoshop,Sosyal Medya Yönetimi,0,0,0,207,0,2807,38,62
Tersane Müdürü,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terzi,2790,2220,3360,Tekstil (MYO),Moda Tasarımı (MYO),Moda Tasarımı,İşletme,Moda ve Tekstil Tasarımı,Tekstil,Turizm,Ev Eşyaları,Mobilya & Aksesuar,Hizmet,Anadolu Üniversitesi,Gazi Üniversitesi,Atatürk Üniversitesi,Kocaeli Üniversitesi,Dumlupınar Üniversitesi,Dikim,TEKSTİL,0,0,0,27,1,2000,52,48
Test Mühendisi,4960,2030,7900,Elektrik/Elektronik Mühendisliği,Bilgisayar Mühendisliği,Makine Mühendisliği,Elektronik ve Haberleşme Müh.,Elektrik Mühendisliği,Bilişim,Telekomünikasyon,Elektrik & Elektronik,Otomotiv,Üretim / Endüstriyel Ürünler,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Kocaeli Üniversitesi,Sakarya Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),AutoCAD,C,C Programming Language,C#,C++,138,135,1087,69,31
Test Otomasyon Mühendisi,6640,3080,10200,Bilgisayar Mühendisliği,Yazılım Mühendisliği,Matematik Mühendisliği,Bilgisayar Programcılığı,Bilgisayar Teknolojisi ve Programlama (MYO),Bilişim,Telekomünikasyon,Finans - Ekonomi,Ticaret,Elektrik & Elektronik,İstanbul Üniversitesi (İÜ),Yıldız Teknik Üniversitesi (YTÜ),Trakya Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Dumlupınar Üniversitesi,Android Uygulama Geliştirme,ASP.NET,C#,GIT,HTML,39,0,185,64,36
Test Uzmanı,4770,2290,7250,Bilgisayar Mühendisliği,Bilgisayar Teknolojisi ve Programlama (MYO),İşletme,Elektronik ve Haberleşme Müh.,Elektrik/Elektronik Mühendisliği,Bilişim,Telekomünikasyon,Finans - Ekonomi,Elektrik & Elektronik,Otomotiv,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Yıldız Teknik Üniversitesi (YTÜ),Kocaeli Üniversitesi,Marmara Üniversitesi,ADO.NET,Android Programlama,C,C#,C++,87,65,550,47,53
Tıbbi Biyolog,5210,2350,9000,Biyoloji,Tıbbi Laboratuvar (MYO),Moleküler Biyoloji ve Genetik,Tıp,Tıbbi Laboratuvar Teknikeri,Sağlık,Hizmet,Sigortacılık,Eğitim,Çevre,Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Gazi Üniversitesi,Ondokuz Mayıs Üniversitesi,Uludağ Üniversitesi,Kan Alma,Raporlama,0,0,0,4,0,182,30,70
Tıbbi Mümessil,3710,2020,5520,İşletme,Biyoloji,İktisat,Kimya,Kamu Yönetimi,Sağlık,Hizmet,Kimya,Sigortacılık,Gıda,Anadolu Üniversitesi,Selçuk Üniversitesi,Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Süleyman Demirel Üniversitesi,Pazarlama Stratejisi,Saha Satış,Satış Yönetimi,0,0,278,612,7569,69,31
Tıbbi Satış Mümessili,3660,2020,5290,İşletme,Biyoloji,İktisat,Kimya,Kamu Yönetimi,Sağlık,Hizmet,Sigortacılık,Kimya,Gıda,Anadolu Üniversitesi,Selçuk Üniversitesi,Ege Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,AutoCAD,Satış Yönetimi,0,0,0,139,1,5309,71,29
