job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
Katma Değerli Hizmetler Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kauçuk Pres Operatörü,2990,2050,4360,Makine (MYO),Dış Ticaret (MYO),Makine,Bankacılık ve Sigortacılık,Fizik,Otomotiv,Kimya,Üretim / Endüstriyel Ürünler,Bilişim,Tekstil,Anadolu Üniversitesi,Uludağ Üniversitesi,Balıkesir Üniversitesi,Afyon Kocatepe Üniversitesi,Atatürk Üniversitesi,AutoCAD,Cnc Freze,Cnc Torna,Forklift Operatörü,Pres Operatörü,6,18,473,83,17
Kayak Eğitmeni,4540,3120,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Kaynak İnspektörü,5180,2600,7900,Makine (MYO),Makine Mühendisliği,Metalurji ve Malzeme Mühendisliği,Makine,Metal Öğretmenliği,Enerji,Maden ve Metal Sanayi,Yapı,Üretim / Endüstriyel Ürünler,Hizmet,Anadolu Üniversitesi,Kocaeli Üniversitesi,Sakarya Üniversitesi,Afyon Kocatepe Üniversitesi,Mustafa Kemal Üniversitesi,AutoCAD,Autodesk,Borulama,Çelik Konstrüksiyon,GAZALTI KAYNAK,17,3,373,91,9
Kaynak Mühendisi,4610,2550,6670,Metalurji ve Malzeme Mühendisliği,Makine Mühendisliği,Metal Öğretmenliği,Malzeme Bilimi ve Mühendisliği,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Maden ve Metal Sanayi,Hizmet,Üretim / Endüstriyel Ürünler,Yapı,Enerji,Sakarya Üniversitesi,Kocaeli Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Karabük Üniversitesi,Marmara Üniversitesi,AutoCAD,CAD/CAM,CATIA,ISO 9001,Kalite / AR-GE,101,24,617,95,5
Kaynak Teknikeri,5350,3000,8520,Kaynak Teknolojisi,Makine (MYO),Makine,Otomotiv (MYO),Metal Öğretmenliği,Maden ve Metal Sanayi,Otomotiv,Üretim / Endüstriyel Ürünler,Yapı,Bilişim,Kocaeli Üniversitesi,Afyon Kocatepe Üniversitesi,Sakarya Üniversitesi,Kastamonu Üniversitesi,Gazi Üniversitesi,3D Modeling,Auto Cad,Bilgisayar Destekli Tasarım Araçları,Çelik Konstrüksiyon,Elektrik Kaynak,6,15,260,86,14
Kaynak Ustası,3170,2020,4360,Makine (MYO),Makine,Elektrik (MYO),Makine ve Metal Teknolojileri,İşletme,Maden ve Metal Sanayi,Üretim / Endüstriyel Ürünler,Yapı,Enerji,Otomotiv,Anadolu Üniversitesi,Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Çukurova Üniversitesi,Balıkesir Üniversitesi,Elektrik Kaynak,GAZALTI KAYNAK,Kaynak,Mekanik Tesisat,Punta Kaynak,90,67,2245,87,12
Kebap Ustası,4520,3000,6230,İşletme,Geleneksel Türk El Sanatları,Lojistik (MYO),Turizm ve Otel İşletmeciliği (MYO),İlköğretim Matematik Öğretmenliği,Gıda,Turizm,Eğlence - Kültür - Sanat,Hizmet,Bilişim,Anadolu Üniversitesi,Mersin Üniversitesi,Doğu Akdeniz Üniversitesi,Osmaniye Korkut Ata Üniversitesi,Pamukkale Üniversitesi,Cari Hesap İşlemleri,0,0,0,0,13,1,541,79,21
Keman Öğretmeni,0,0,0,Müzik Öğretmenliği,Müzik,Keman,Yaylı Çalgılar,Türk Musikisi,0,0,0,0,0,Trakya Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Adobe Photoshop,AutoCAD,0,0,0,0,0,93,26,74
Kemoterapi Hemşiresi,2920,2100,3790,Hemşirelik (MYO),Hemşirelik ve Sağlık Hizmetleri,Hemşirelik,Ebelik,İlk ve Acil (Paramedik),Sağlık,Hizmet,Sigortacılık,Bilişim,Tekstil,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Bilim Üniversitesi,Trakya Üniversitesi,Ege Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,10,2,256,24,76
Kentsel Dönüşüm Ustası,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
